数据日期,客户编号,客户编号转码,客户名称,合同流水号,合同编号,年初风险分类名称,最新风险分类结果,年初风险分类,最新风险分类,最新风险五级分类,合同期限(年),短中长期贷款标识,客户所属省/市,业务品种大类,分区日期: [yyyyMMdd],一级分行名称,账务机构代码,账务机构名称,账务机构全路径,合同账务机构,合同状态,合同到期日期,合同经办人,实际发放日期,实际到期日期,合同终结日期,授信申请流水号,债项审批通知书流水号,主体通知书流水号,债项额度编号,授信协议额度流水号,授信协议通知书流水号,授信协议合同流水号,是否占用额度,占用额度客户编号,额度占用方角色,额度占用方债项审批通知书流水号,占用债项授信额度流水号,第三方额度流水号,第三方额度审批通知书流水号,占用第三方额度客户编号,基准利率代号,浮动类型,计息方式,计息周期,源系统业务品种名称,业务品种名称,业务类别名称,产品代码,发生类型,货币种类,还款方式名称,主要担保方式名称,国标行业投向代码,国标行业投向名称,本行投向代码,相关科目代码,相关科目名称,委托人客户类型,客户考核分类,客户考核预分类,经济类型代码,所在行政区划名称,控股类型（企业出资人经济成分）,首次风险分类时间,最新风险分类时间,系统控制类型,系统控制模板类型,合同模式标识,数据来源系统代码,战略新兴产业类型代码,战略新兴产业类型名称,承诺业务品种,汇率（本外币折人民币）,客户所属集团名称,客户所属集团,客户所属国标行业名称,贷款余额(万元),合同金额(万元)
2026-06-30,900000000060,A00060,鼎盛医药有限公司,20231115000550E,967554388932-8,0300--次级,0101--正常1,不良,正常,正常,3.0,中期,安徽省,公司流动贷款,2026-06-30,合肥分行,00159,合肥市高新支行,"0108001,0140001,340104,00159",00159,301--已生效待下柜,2026-11-15,JB7790,2023-11-15,2027-01-14,,zxsq20231115000559W,tz2023111500055MP,tz202311040005584,FXQYF937L70397278752918331097405334436825,,,,1--是,900000000060,01--融资人,tz2023111500055MP,FXQYF937L70397278752918331097405334436825,,,,01700Y05,0--浮动值浮动,4--满月分段计息,0--按月计息,公司流动资金贷款,10101--公司流动资金贷款,2001--单一债项,105030000,0100--正常申请,01--人民币,0102--分期等额本息,203--专业担保公司保证,C3511,C3511--矿山机械制造,45,113201,113201--普通中期贷款,企业法人,风险客户,风险,190,340104--安徽省--合肥市--蜀山区,B0201--港澳台相对控股,2024-01-01 18:43:57,2025-10-10 17:21:25,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,10101--公司流动资金贷款,1.0,,无,C3511--矿山机械制造,9301.85,9680.29
2026-06-30,900000000089,A00089,华盛食品股份有限公司,2023103000056ZN,491477719346-8,0103--正常3,0101--正常1,正常,正常,正常,10.0,长期,北京市,公司固定贷款,2026-06-30,北京分行,00161,北京市城北支行,"0108001,0140001,110105,00161",00161,301--已生效待下柜,2033-10-28,JB0047,2023-10-30,2033-10-28,,zxsq20231030000566W,tz20231030000569U,tz2023101700056CU,FXQYF558L13322543535394062106267785231336,,,,1--是,900000000089,01--融资人,tz20231030000569U,FXQYF558L13322543535394062106267785231336,,,,14802D01,0--浮动值浮动,5--满季分段计息,2--按年计息,其他固定资产贷款,1010299--其他固定资产贷款,2001--单一债项,105029900,0100--正常申请,01--人民币,0101--分期等额本金,30101--住房抵押,C2645,C2645--染料制造,05,113301,113301--普通长期贷款,企业法人,基础客户,长尾,130,110105--北京市--北京市--朝阳区,B0302--外商绝对控股,2023-11-15 16:42:31,2025-01-04 13:55:44,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,1,1-新一代信息技术产业,1010299--其他固定资产贷款,1.0,瑞达产业集团有限公司,有,C2645--染料制造,27507.94,28721.03
2026-06-30,900000000047,A00047,中恒能源集团有限公司,202504170005740,179088655047-8,0102--正常2,0102--正常2,正常,正常,正常,10.0,长期,福建省,公司固定贷款,2026-06-30,泉州分行,00560,泉州市中心支行,"0108001,0140001,350503,00560",00560,301--已生效待下柜,2035-04-17,JB6763,2025-04-17,2035-04-17,,zxsq20250417000574K,tz2025041700057QP,tz2025041100057BY,FXQYF626L80331639761097825990146863461561,,,,1--是,900000000047,01--融资人,tz2025041700057QP,FXQYF626L80331639761097825990146863461561,DSFED2025041700000057,dstz2025041700057QA,900000000004,01700Y05,0--浮动值浮动,1--不分段计息,0--按月计息,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2001--单一债项,105030200,0100--正常申请,01--人民币,02--到期还款,41302--收费权质押,C3824,C3824--电力电子元器件制造,22,113301,113301--普通长期贷款,企业法人,基础客户,长尾,174,350503--福建省--泉州市--丰泽区,B0302--外商绝对控股,2025-06-26 14:32:37,2025-08-25 08:07:02,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,3,3-新材料产业,1010302--公司商用房按揭贷款,1.0,中恒产业集团有限公司,有,C3824--电力电子元器件制造,741.97,839.97
2026-06-30,900000000055,A00055,宏泰能源股份有限公司,2022083000058WI,551136239946-1,0101--正常1,0101--正常1,正常,正常,正常,0.5,短期,云南省,公司流动贷款,2026-06-30,昆明分行,00161,昆明市城北支行,"0108001,0140001,530103,00161",00161,301--已生效待下柜,2023-02-28,JB5472,2022-08-30,2023-02-28,,zxsq20220830000584O,tz2022083000058KQ,tz2022082900058NR,FXQYF632L69852350338244448887345263597573,,,,1--是,900000000055,01--融资人,tz2022083000058KQ,FXQYF632L69852350338244448887345263597573,,,,01700Y01,0--浮动值浮动,1--不分段计息,0--按月计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2001--单一债项,105070000,0100--正常申请,01--人民币,02--到期还款,201--公司法人保证,C3849,C3849--其他电池制造,53,113101,113101--普通短期贷款,企业法人,重点客户,价值,130,530103--云南省--昆明市--盘龙区,B0302--外商绝对控股,2022-09-20 10:06:09,2025-12-11 13:57:54,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,4,4-生物产业,10107--流动资金额度循环贷款,1.0,宏泰产业集团有限公司,有,C3849--其他电池制造,285.05,850.89
2026-06-30,900000000093,A00093,嘉禾物流股份有限公司,2022072300059ZN,360949908975-3,0300--次级,0103--正常3,不良,正常,正常,10.0,长期,云南省,公司固定贷款,2026-06-30,昆明分行,00162,昆明市城北支行,"0108001,0140001,530103,00162",00162,301--已生效待下柜,2032-07-23,JB7711,2022-07-23,2032-07-23,,zxsq2022072300059UZ,tz20220723000593Z,tz2022071600059OH,FXQYF815L37042502315246482232418905870399,,,,1--是,900000000093,01--融资人,tz20220723000593Z,FXQYF815L37042502315246482232418905870399,,,,01700Y01,0--浮动值浮动,4--满月分段计息,1--按季计息,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2001--单一债项,105030200,0100--正常申请,01--人民币,02--到期还款,203--专业担保公司保证,F5175,F5175--电气设备批发,15,113301,113301--普通长期贷款,企业法人,风险客户,风险,171,530103--云南省--昆明市--盘龙区,B0301--外商相对控股,2022-07-29 11:49:48,2026-05-26 11:09:48,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010302--公司商用房按揭贷款,1.0,,无,F5175--电气设备批发,2306.22,3177.34
2026-06-30,900000000054,A00054,星海建设股份有限公司,2025021000060IF,144947878683-1,0101--正常1,0203--关注3,正常,关注,关注,5.0,中期,安徽省,公司固定贷款,2026-06-30,合肥分行,00164,合肥市营业部,"0108001,0140001,340104,00164",00164,301--已生效待下柜,2030-02-10,JB1228,2025-02-10,2030-02-10,,zxsq2025021000060ZR,tz2025021000060I4,tz2025012700060XM,FXQYF863L00686988872803258863184592695637,,,,1--是,900000000054,01--融资人,tz2025021000060I4,FXQYF863L00686988872803258863184592695637,,,,01700Y05,0--浮动值浮动,1--不分段计息,1--按季计息,银团贷款,10108--银团贷款,2001--单一债项,105080000,0100--正常申请,01--人民币,0101--分期等额本金,101--一般信用,C3744,C3744--航空相关设备制造,31,113501,113501--银团贷款出资额,企业法人,重点客户,价值,174,340104--安徽省--合肥市--蜀山区,A0101--国有相对控股,2025-03-10 11:10:07,2025-12-28 12:06:58,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,10108--银团贷款,1.0,,无,C3744--航空相关设备制造,2769.71,3776.88
2026-06-30,900000000085,A00085,鼎盛商贸有限公司,202211170006159,930989084748-5,0101--正常1,0101--正常1,正常,正常,正常,2.0,中期,陕西省,公司固定贷款,2026-06-30,西安分行,00174,西安市中心支行,"0108001,0140001,610113,00174",00174,301--已生效待下柜,2024-11-17,JB0416,2022-11-17,2024-11-17,,zxsq2022111700061X9,tz2022111700061SF,tz20221028000616A,FXQYF190L96612922404934065562537828266904,XYED2022111700000061,xytz2022111700061TM,xyht2022111700061BM,1--是,900000000085,01--融资人,tz2022111700061SF,FXQYF190L96612922404934065562537828266904,,,,14802D01,0--浮动值浮动,7--满年分段计息,0--按月计息,公司厂房按揭贷款,1010305--公司厂房按揭贷款,2001--单一债项,105030500,0100--正常申请,01--人民币,0101--分期等额本金,30102--商业用房抵押,G5431,G5431--普通货物道路运输,94,113201,113201--普通中期贷款,政府机构,重点客户,价值,130,610113--陕西省--西安市--雁塔区,A0102--国有绝对控股,2023-01-07 18:04:53,2026-04-21 13:01:24,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010305--公司厂房按揭贷款,1.0,新科产业集团有限公司,有,G5431--普通货物道路运输,279.11,5582.12
2026-06-30,900000000039,A00039,众联能源股份有限公司,2022021300062CM,108402577733-9,0103--正常3,0101--正常1,正常,正常,正常,3.0,中期,青海省,公司固定贷款,2026-06-30,西宁分行,00166,西宁市城南支行,"0108001,0140001,630104,00166",00166,302--已生效终止下柜,2025-02-13,JB8676,2022-02-13,2025-02-13,2025-02-13,zxsq2022021300062HZ,tz20220213000628K,tz20220204000622J,FXQYF904L47401670617399807910851947841624,XYED2022021300000062,xytz20220213000627N,xyht20220213000620A,1--是,900000000039,01--融资人,tz20220213000628K,FXQYF904L47401670617399807910851947841624,DSFED2022021300000062,dstz2022021300062X3,900000000086,01700Y05,0--浮动值浮动,1--不分段计息,1--按季计息,其他固定资产贷款,1010299--其他固定资产贷款,2001--单一债项,105029900,0100--正常申请,01--人民币,02--到期还款,30299--其他土地使用权抵押,C2659,C2659--其他合成材料制造,24,113201,113201--普通中期贷款,企业法人,风险客户,风险,130,630104--青海省--西宁市--城西区,B0302--外商绝对控股,2022-04-14 09:07:32,2026-04-29 12:05:36,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010299--其他固定资产贷款,1.0,,无,C2659--其他合成材料制造,0.0,3010.81
2026-06-30,900000000074,A00074,中恒制造集团有限公司,2024092800063QA,320304734137-7,0101--正常1,0103--正常3,正常,正常,正常,10.0,长期,重庆市,公司固定贷款,2026-06-30,重庆分行,00166,重庆市城南支行,"0108001,0140001,500103,00166",00166,301--已生效待下柜,2034-09-28,JB8899,2024-09-28,2034-10-28,,zxsq20240928000637L,tz20240928000634F,tz2024092400063ZQ,FXQYF752L65294877224809199573450769434034,,,,1--是,900000000074,01--融资人,tz20240928000634F,FXQYF752L65294877224809199573450769434034,DSFED2024092800000063,dstz2024092800063VT,900000000079,01700Y05,0--浮动值浮动,1--不分段计息,3--利随本清,并购贷款,10106--并购贷款,2002--组合债项,105060000,0100--正常申请,01--人民币,0101--分期等额本金,30201--商业用地土地使用权抵押,D4413,D4413--水力发电,57,113301,113301--普通长期贷款,企业法人,重点客户,价值,190,500103--重庆市--重庆市--渝中区,A0201--集体相对控股,2024-12-06 08:40:03,2025-01-07 13:42:07,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,10106--并购贷款,1.0,华盛产业集团有限公司,有,D4413--水力发电,1990.77,2413.06
2026-06-30,900000000039,A00039,众联能源股份有限公司,2023100700064KM,733209709379-1,0201--关注1,0103--正常3,关注,正常,正常,2.0,中期,青海省,公司流动贷款,2026-06-30,西宁分行,00168,西宁市营业部,"0108001,0140001,630104,00168",00168,302--已生效终止下柜,2025-10-07,JB2225,2023-10-07,2025-12-06,2026-01-01,zxsq2023100700064WM,tz2023100700064HY,tz2023091900064HK,FXQYF961L62983112714823484054964033312383,,,,1--是,900000000039,01--融资人,tz2023100700064HY,FXQYF961L62983112714823484054964033312383,,,,14802D01,0--浮动值浮动,1--不分段计息,0--按月计息,公司流动资金贷款,10101--公司流动资金贷款,2001--单一债项,105030000,0100--正常申请,01--人民币,02--到期还款,203--专业担保公司保证,C2659,C2659--其他合成材料制造,79,113201,113201--普通中期贷款,企业法人,风险客户,风险,190,630104--青海省--西宁市--城西区,B0102--私人绝对控股,2023-10-07 09:02:19,2025-04-06 11:56:57,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,10101--公司流动资金贷款,1.0,,无,C2659--其他合成材料制造,0.0,1808.19
2026-06-30,900000000003,A00003,卓越建设股份有限公司,2024060600065IG,138836339656-1,0101--正常1,0101--正常1,正常,正常,正常,5.0,中期,辽宁省,公司固定贷款,2026-06-30,大连分行,00267,大连市中心支行,"0108001,0140001,210202,00267",00267,301--已生效待下柜,2029-06-06,JB4432,2024-06-06,2029-06-06,,zxsq2024060600065SU,tz2024060600065LX,tz202405230006593,FXQYF234L89645028118475362088914180639652,XYED2024060600000065,xytz2024060600065AA,xyht2024060600065FM,1--是,900000000003,01--融资人,tz2024060600065LX,FXQYF234L89645028118475362088914180639652,,,,01700Y01,0--浮动值浮动,1--不分段计息,1--按季计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0100--正常申请,01--人民币,02--到期还款,306--在建工程,E4812,E4812--公路工程建筑,06,113202,113202--中期住房开发贷款,企业法人,基础客户,长尾,149,210202--辽宁省--大连市--中山区,B0101--私人相对控股,2024-08-20 15:49:25,2025-12-28 12:08:04,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010201--公司住房开发贷款,1.0,,无,E4812--公路工程建筑,640.49,889.57
2026-06-30,900000000027,A00027,嘉禾科技有限公司,2025022500066FK,397330416429-2,0101--正常1,0201--关注1,正常,关注,关注,2.0,中期,吉林省,公司固定贷款,2026-06-30,长春分行,00168,长春市高新支行,"0108001,0140001,220102,00168",00168,301--已生效待下柜,2027-02-25,JB8316,2025-02-25,2027-02-25,,zxsq2025022500066EG,tz202502250006675,tz2025021800066RE,FXQYF648L21665355423467707785584654486286,,,,1--是,900000000027,01--融资人,tz202502250006675,FXQYF648L21665355423467707785584654486286,,,,14802D01,0--浮动值浮动,1--不分段计息,1--按季计息,公司住房开发贷款,1010201--公司住房开发贷款,2002--组合债项,105020100,0800--循环贷续作,01--人民币,02--到期还款,203--专业担保公司保证,C3240,C3240--有色金属合金制造,19,113202,113202--中期住房开发贷款,企业法人,重点客户,价值,171,220102--吉林省--长春市--南关区,B0202--港澳台绝对控股,2025-04-23 17:14:25,2025-07-22 09:50:41,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,1,1-新一代信息技术产业,1010201--公司住房开发贷款,1.0,,无,C3240--有色金属合金制造,4073.63,7638.05
2026-06-30,900000000013,A00013,众联软件股份有限公司,20230108000679R,221057131105-5,0201--关注1,0102--正常2,关注,正常,正常,2.0,中期,陕西省,公司固定贷款,2026-06-30,西安分行,00180,西安市营业部,"0108001,0140001,610113,00180",00180,302--已生效终止下柜,2025-01-08,JB7865,2023-01-08,2025-01-08,2025-01-30,zxsq2023010800067YK,tz20230108000671B,tz2023010500067MW,FXQYF816L26990164959016116785020016413649,,,,1--是,900000000013,01--融资人,tz20230108000671B,FXQYF816L26990164959016116785020016413649,DSFED2023010800000067,dstz20230108000679U,900000000059,01700Y01,0--浮动值浮动,1--不分段计息,0--按月计息,工业厂房开发贷款,1010208--工业厂房开发贷款,2001--单一债项,105020800,0700--连连贷,01--人民币,02--到期还款,201--公司法人保证,L7271,L7271--安全服务,56,113201,113201--普通中期贷款,企业法人,成长客户,潜力,190,610113--陕西省--西安市--雁塔区,A0102--国有绝对控股,2023-03-21 09:05:36,2026-02-25 15:34:06,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,7,7-节能环保产业,1010208--工业厂房开发贷款,1.0,新科产业集团有限公司,有,L7271--安全服务,0.0,4877.82
2026-06-30,900000000061,A00061,嘉禾软件股份有限公司,2024073100068HU,788828587961-1,0103--正常3,0103--正常3,正常,正常,正常,0.5,短期,山东省,公司流动贷款,2026-06-30,济南分行,00170,济南市城南支行,"0108001,0140001,370102,00170",00170,302--已生效终止下柜,2025-01-28,JB2875,2024-07-31,2025-01-28,2025-02-05,zxsq2024073100068OQ,tz2024073100068P6,tz2024073000068WT,FXQYF822L38856956034729274716186869796755,,,,1--是,900000000061,01--融资人,tz2024073100068P6,FXQYF822L38856956034729274716186869796755,,,,14802D01,0--浮动值浮动,5--满季分段计息,4--手工计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2001--单一债项,105070000,0100--正常申请,01--人民币,02--到期还款,101--一般信用,M7340,M7340--医学研究和试验发展,17,113101,113101--普通短期贷款,企业法人,重点客户,价值,120,370102--山东省--济南市--历下区,B0201--港澳台相对控股,2024-09-03 08:22:11,2025-11-30 14:34:08,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,10107--流动资金额度循环贷款,1.0,,无,M7340--医学研究和试验发展,0.0,4723.47
2026-06-30,900000000099,A00099,星海软件有限公司,2026060900069OU,608831243202-9,0101--正常1,0102--正常2,正常,正常,正常,10.0,长期,福建省,公司固定贷款,2026-06-30,莆田分行,00371,莆田市高新支行,"0108001,0140001,350302,00371",00371,301--已生效待下柜,2036-06-09,JB8958,2026-06-09,2036-06-09,,zxsq2026060900069IL,tz20260609000692M,tz20260602000696N,FXQYF446L11506607363233903381735591066327,XYED2026060900000069,xytz2026060900069G2,xyht20260609000691F,1--是,900000000099,01--融资人,tz20260609000692M,FXQYF446L11506607363233903381735591066327,,,,01700Y05,0--浮动值浮动,1--不分段计息,0--按月计息,银团贷款,10108--银团贷款,2001--单一债项,105080000,0100--正常申请,01--人民币,0101--分期等额本金,30102--商业用房抵押,Q8421,Q8421--社区卫生服务中心（站）,45,113501,113501--银团贷款出资额,企业法人,成长客户,潜力,190,350302--福建省--莆田市--城厢区,B0202--港澳台绝对控股,2026-06-28 17:43:26,2026-06-30 11:18:02,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,2,2-高端装备制造产业,10108--银团贷款,1.0,,无,Q8421--社区卫生服务中心（站）,2986.67,2986.67
2026-06-30,900000000002,A00002,启航制造集团有限公司,2022050100070WA,759376195551-6,0101--正常1,0203--关注3,正常,关注,关注,2.0,中期,山东省,公司固定贷款,2026-06-30,青岛分行,00272,青岛市营业部,"0108001,0140001,370202,00272",00272,301--已生效待下柜,2024-05-01,JB4238,2022-05-01,2024-05-01,,zxsq2022050100070OU,tz2022050100070UR,tz2022041200070N9,FXQYF763L64460507227028755935937634268517,,,,1--是,900000000002,01--融资人,tz2022050100070UR,FXQYF763L64460507227028755935937634268517,DSFED2022050100000070,dstz20220501000708O,900000000082,01700Y01,0--浮动值浮动,1--不分段计息,1--按季计息,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2001--单一债项,105030200,0302--重组-借新还旧（不变更主体）,01--人民币,0101--分期等额本金,41003--非上市公司股权质押,F5213,F5213--便利店零售,93,113201,113201--普通中期贷款,企业法人,基础客户,长尾,149,370202--山东省--青岛市--市南区,A0102--国有绝对控股,2022-06-26 13:09:42,2025-04-24 16:44:55,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010302--公司商用房按揭贷款,1.0,启航产业集团有限公司,有,F5213--便利店零售,169.69,3393.88
2026-06-30,900000000074,A00074,中恒制造集团有限公司,2022071600071CU,699658315377-2,0201--关注1,0102--正常2,关注,正常,正常,1.0,短期,重庆市,公司流动贷款,2026-06-30,重庆分行,00174,重庆市城北支行,"0108001,0140001,500103,00174",00174,302--已生效终止下柜,2023-07-16,JB2090,2022-07-16,2023-07-16,2023-08-09,zxsq2022071600071U8,tz2022071600071SK,tz2022071100071RE,FXQYF436L09334821263313732114855568968706,XYED2022071600000071,xytz2022071600071KC,xyht20220716000719K,1--是,900000000074,01--融资人,tz2022071600071SK,FXQYF436L09334821263313732114855568968706,,,,01700Y05,0--浮动值浮动,1--不分段计息,1--按季计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2001--单一债项,105070000,0100--正常申请,01--人民币,02--到期还款,30202--工业用地土地使用权抵押,D4413,D4413--水力发电,74,113101,113101--普通短期贷款,企业法人,成长客户,潜力,130,500103--重庆市--重庆市--渝中区,A0101--国有相对控股,2022-08-19 18:40:03,2026-06-22 11:46:05,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,10107--流动资金额度循环贷款,1.0,华盛产业集团有限公司,有,D4413--水力发电,0.0,2006.05
2026-06-30,900000000001,A00001,远景商贸股份有限公司,2023091700072XS,810270362308-3,0102--正常2,0102--正常2,正常,正常,正常,2.0,中期,河南省,公司固定贷款,2026-06-30,郑州分行,00177,郑州市营业部,"0108001,0140001,410105,00177",00177,302--已生效终止下柜,2025-09-17,JB6004,2023-09-17,2025-09-17,2025-10-13,zxsq2023091700072SC,tz2023091700072JW,tz2023090300072QY,FXQYF122L39379500665492535646396893312086,XYED2023091700000072,xytz2023091700072CJ,xyht2023091700072QF,1--是,900000000001,01--融资人,tz2023091700072JW,FXQYF122L39379500665492535646396893312086,,,,01700Y05,0--浮动值浮动,1--不分段计息,0--按月计息,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2001--单一债项,105030200,0302--重组-借新还旧（不变更主体）,01--人民币,03--分期还款（不规则期限还款）,40904--商业承兑汇票质押,C3055,C3055--玻璃包装容器制造,15,113201,113201--普通中期贷款,事业法人,基础客户,长尾,110,410105--河南省--郑州市--金水区,B0201--港澳台相对控股,2023-10-04 12:22:17,2025-05-18 09:51:50,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,1,1-新一代信息技术产业,1010302--公司商用房按揭贷款,1.0,,无,C3055--玻璃包装容器制造,0.0,1345.39
2026-06-30,900000000054,A00054,星海建设股份有限公司,2022052100073F7,235603345123-8,0101--正常1,0101--正常1,正常,正常,正常,2.0,中期,安徽省,公司流动贷款,2026-06-30,合肥分行,00177,合肥市城南支行,"0108001,0140001,340104,00177",00177,302--已生效终止下柜,2024-05-21,JB2341,2022-05-21,2024-05-21,2024-05-25,zxsq2022052100073SG,tz20220521000734Y,tz2022051200073MC,FXQYF245L82185945394442013829791920747439,XYED2022052100000073,xytz2022052100073TJ,xyht20220521000733B,1--是,900000000054,01--融资人,tz20220521000734Y,FXQYF245L82185945394442013829791920747439,,,,01700Y05,0--浮动值浮动,1--不分段计息,1--按季计息,公司流动资金贷款,10101--公司流动资金贷款,2001--单一债项,105030000,0302--重组-借新还旧（不变更主体）,01--人民币,03--分期还款（不规则期限还款）,41003--非上市公司股权质押,C3744,C3744--航空相关设备制造,22,113201,113201--普通中期贷款,企业法人,风险客户,风险,190,340104--安徽省--合肥市--蜀山区,B0101--私人相对控股,2022-06-29 10:02:07,2025-01-24 08:58:12,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,3,3-新材料产业,10101--公司流动资金贷款,1.0,,无,C3744--航空相关设备制造,0.0,2533.65
2026-06-30,900000000020,A00020,鼎盛机械有限公司,2023061100074P2,441652462916-6,0300--次级,0101--正常1,不良,正常,正常,0.5,短期,辽宁省,公司流动贷款,2026-06-30,大连分行,00276,大连市城北支行,"0108001,0140001,210202,00276",00276,302--已生效终止下柜,2023-12-11,JB7307,2023-06-11,2023-12-11,2024-01-05,zxsq202306110007405,tz2023061100074IR,tz202305280007430,FXQYF525L39466976161321190385975547725457,,,,1--是,900000000020,01--融资人,tz2023061100074IR,FXQYF525L39466976161321190385975547725457,DSFED2023061100000074,dstz2023061100074EB,900000000071,01700Y05,0--浮动值浮动,1--不分段计息,3--利随本清,公司流动资金贷款,10101--公司流动资金贷款,2001--单一债项,105030000,0100--正常申请,01--人民币,0101--分期等额本金,30201--商业用地土地使用权抵押,C2651,C2651--初级形态塑料及合成树脂制造,53,113101,113101--普通短期贷款,企业法人,成长客户,潜力,190,210202--辽宁省--大连市--中山区,A0201--集体相对控股,2023-08-11 10:39:28,2026-06-04 12:20:26,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,2,2-高端装备制造产业,10101--公司流动资金贷款,1.0,,无,C2651--初级形态塑料及合成树脂制造,0.0,1310.65
2026-06-30,900000000018,A00018,新科电子股份有限公司,202509040007506,461282780133-2,0102--正常2,0101--正常1,正常,正常,正常,5.0,中期,江苏省,公司固定贷款,2026-06-30,南京分行,00181,南京市高新支行,"0108001,0140001,320106,00181",00181,301--已生效待下柜,2030-09-04,JB3132,2025-09-04,2030-10-04,,zxsq2025090400075LL,tz2025090400075FP,tz2025082400075CF,FXQYF174L62337727417036399780161289974552,,,,1--是,900000000018,01--融资人,tz2025090400075FP,FXQYF174L62337727417036399780161289974552,,,,01700Y05,0--浮动值浮动,4--满月分段计息,0--按月计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0700--连连贷,01--人民币,03--分期还款（不规则期限还款）,40101--活期保证金,G5443,G5443--公路管理与养护,62,113202,113202--中期住房开发贷款,企业法人,成长客户,潜力,171,320106--江苏省--南京市--鼓楼区,A0201--集体相对控股,2025-10-15 09:31:56,2026-06-04 12:16:46,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010201--公司住房开发贷款,1.0,,无,G5443--公路管理与养护,1853.45,2289.97
2026-06-30,900000000030,A00030,华盛能源股份有限公司,2022022100076L0,424123101374-9,0102--正常2,0101--正常1,正常,正常,正常,7.0,长期,福建省,公司固定贷款,2026-06-30,龙岩分行,00878,龙岩市高新支行,"0108001,0140001,350802,00878",00878,301--已生效待下柜,2029-02-21,JB1284,2022-02-21,2029-02-21,,zxsq2022022100076FI,tz2022022100076S7,tz2022020100076OE,FXQYF761L92739229404427904504754976615549,,,,1--是,900000000030,01--融资人,tz2022022100076S7,FXQYF761L92739229404427904504754976615549,,,,01700Y01,0--浮动值浮动,4--满月分段计息,2--按年计息,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2002--组合债项,105030200,0700--连连贷,01--人民币,03--分期还款（不规则期限还款）,41699--其他应收账款质押,C3352,C3352--建筑装饰及水暖管道零件制造,21,113301,113301--普通长期贷款,企业法人,重点客户,价值,141,350802--福建省--龙岩市--新罗区,A0201--集体相对控股,2022-04-13 08:49:43,2025-06-06 08:17:01,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010302--公司商用房按揭贷款,1.0,中恒产业集团有限公司,有,C3352--建筑装饰及水暖管道零件制造,311.59,549.87
